BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom^3),		 Std, 	N,    Name,    Reference    ,	              Comment
1         , Unit cell volume @150K,  971.3 ,  0.4  ,     ,   Gomes,    e-mail 3 Oct 2024,   
2         , Unit cell volume @150K,   967.0 ,  0.2 ,     ,   Gomes2,    e-mail 3 Oct 2024,
3         , Unit cell volume @150K,   964.0 ,  0.8  ,     ,   Hoser,    e-mail 3 Oct Aug 2024,
4         , Unit cell volume @150K,  964.873  ,  0.017  ,     ,   Dudek,    e-mail 3 Oct 2024,
5         , Unit cell volume @150K,   964.891 ,  0.017 ,     ,   Dudek2,    e-mail 3 Oct 2024,
6         , Unit cell volume @150K,   964.172,  0.017 ,     ,  Rupric,    e-mail 3 Oct 2024,
7         , Unit cell volume @150K,  964.78 ,  0.03 ,     ,   Krukle-Berzina,    e-mail 3 Oct 2024,
8         , Unit cell volume @150K,  962.67  ,  0.06  ,     ,  van Hecke  , e-mail 3 Oct 2024, 
9         , Unit cell volume @150K,  964.068 ,  0.011 ,     ,   Spingler,    e-mail 3 Oct 2024,
10        , Unit cell volume @150K,   964 ,  0.13  ,     ,   Tinnemans,    e-mail 3 Oct 2024,
