BPHENO19,,,,,,,
Identifier, Property              , Value (Angstrom),		 Std, 	N,    Name,    Reference    ,	              Comment
1         , Lattice param b @150K ,  10.274  ,  0.002  ,     ,   Gomes,    e-mail 3 Oct 2024,   
2         , Lattice param b @150K ,   10.2608 ,  0.0014   ,     ,  Gomes2,    e-mail 3 Oct 2024,
3         , Lattice param b @150K ,  10.2518   ,  0.0005  ,     ,   Hoser,    e-mail 3 Oct 2024,
4         , Lattice param b @150K ,  10.2547  ,  0.0001  ,     ,   Dudek,    e-mail 3 Oct 2024,
5         , Lattice param b @150K ,   10.2553 ,  0.0001 ,     ,   Dudek2,    e-mail 3 Oct 2024,
6         , Lattice param b @150K ,  10.25376 ,  0.0001 ,     ,  Rupric,    e-mail 3 Oct 2024,
7         , Lattice param b @150K ,  10.24901 ,  0.00018 ,     ,   Krukle-Berzina,    e-mail 3 Oct 2024,
8         , Lattice param b @150K ,  10.2486  ,  0.0003  ,     ,  van Hecke  , e-mail 3 Oct 2024,
9         , Lattice param b @150K ,  10.25197 ,  0.000069 ,     ,   Spingler,    e-mail 3 Oct 2024,
10        , Lattice param b @150K ,   10.2493 ,  0.0008  ,     ,   Tinnemans,    e-mail 3 Oct 2024,
