Identifier,Form (REFCODE),Melting Onset Temperature (K),Value (kJ/mol),Comments,Reference/Author
1,Orthorhombic or alpha (BPHENO19),321.55,18.59028844,,B_SPINGLER_2024.1
2,Orthorhombic or alpha (BPHENO19),321.55,18.90188806,,B_SPINGLER_2024.1
3,Orthorhombic or alpha (BPHENO19),321.62,18.93833246,,B_SPINGLER_2024.1
4,Orthorhombic or alpha (BPHENO19),321.51,18.2495333,,B_SPINGLER_2024.1
5,Orthorhombic or alpha (BPHENO19),321.51,18.23859998,,B_SPINGLER_2024.1
6,Orthorhombic or alpha (BPHENO19),321.52,18.3041999,,B_SPINGLER_2024.1
7,Orthorhombic or alpha (BPHENO19),321.39,18.23495554,,B_SPINGLER_2024.1
8,Orthorhombic or alpha (BPHENO19),321.42,18.41535532,,B_SPINGLER_2024.1
9,Orthorhombic or alpha (BPHENO19),321.42,17.9306448,,B_SPINGLER_2024.1
10,Orthorhombic or alpha (BPHENO19),321.7,18.4,,M_ Dudek_2024.1
11,Orthorhombic or alpha (BPHENO19),321.84,18.4,,M_ Dudek_2024.1
12,Orthorhombic or alpha (BPHENO19),321.6,18.4,,M_ Dudek_2024.1
13,Orthorhombic or alpha (BPHENO19),321.39,18.3,,M_ Dudek_2024.1
14,Orthorhombic or alpha (BPHENO19),321.47,18.3,,M_ Dudek_2024.1
15,Orthorhombic or alpha (BPHENO19),321.55,18.3,,M_ Dudek_2024.1
16,Orthorhombic or alpha (BPHENO19),321.3,18.4,,M_ Dudek_2024.1
17,Orthorhombic or alpha (BPHENO19),321.31,18.3,,M_ Dudek_2024.1
18,Orthorhombic or alpha (BPHENO19),321.39,18.3,,M_ Dudek_2024.1
19,Orthorhombic or alpha (BPHENO19),321.74,18.2,,M_ Dudek_2024.1
20,Orthorhombic or alpha (BPHENO19),321.72,18.4,,M_ Dudek_2024.1
21,Orthorhombic or alpha (BPHENO19),321.93,18.2,,M_ Dudek_2024.1
22,Orthorhombic or alpha (BPHENO19),321.35,19.3,m = 13.6 mg,Kristof Vanhecke (Gent)
23,Orthorhombic or alpha (BPHENO19),319.95,19.3,Their comment: Since there was no detailed instructions; I did two measurements (5 deg/min and 10 deg/min heating rates) under the dynamic nitrogen stream (50 ml/min). Measurements were performed on a TA instrument (DSC25) using standard type of TA aluminium crucibles (pan+lid),Mirta Rubcic/Josip Pozar (University of Zagreb) 
24,Orthorhombic or alpha (BPHENO19),320.25,19.3,,Mirta Rubcic/Josip Pozar (University of Zagreb) 
25,Orthorhombic or alpha (BPHENO19),320.35,18.5,,Marta Dudek (Polish Academy of Sciences)
26,Orthorhombic or alpha (BPHENO19),321.05,19.6,m = 3.72 mg,Michela Romanini (Barcelona) 
27,Orthorhombic or alpha (BPHENO19),319.85,18.2,,Agris Berzins / Kristine Krikle (Latvia)
28,Orthorhombic or alpha (BPHENO19),321.25,18.4,,Doris Braun (University of Innsbruck)
29,Orthorhombic or alpha (BPHENO19),321.15,18.2,,Doris Braun (University of Innsbruck)
30,Orthorhombic or alpha (BPHENO19),321.35,18.6,,10.1021/acs.jced.6b00523
31,Orthorhombic or alpha (BPHENO19),321.15,16.74,1932 citation,https://doi.org/10.1515/zpch-1932-16103
32,Orthorhombic or alpha (BPHENO19),321.19,18.606,error quoted as 0.018 (value),https://doi.org/10.1016/S0021-9614(02)00261-6
33,Orthorhombic or alpha (BPHENO19),321.03,18.19,error quoted as 0.05,https://doi.org/10.1016/0021-9614(83)90151-9
34,Orthorhombic or alpha (BPHENO19),321.28,18.47,error quoted   0.01 (temp) and 0.02 (value),https://doi.org/10.1006/jcht.2002.0976
35,Orthorhombic or alpha (BPHENO19),328,13.55,Enthalpy reported in the collected document from the Paris drive but can't see in the paper itself. Assume its calculated wrongly,https://doi.org/10.1016/j.molstruc.2008.02.045
36,Orthorhombic or alpha (BPHENO19),321.3,18.6,error quoted 0.3,https://doi.org/10.1021/acs.jced.6b00523
37,Orthorhombic or alpha (BPHENO19),320.9,19.3, error quoted 0.4 (temp) and  0.1 (value),https://doi.org/10.1038/s41598-023-38985-y
Benchmark Value,Orthorhombic or alpha (BPHENO19),321.455,18.339,STDEV.P of melting onset is 1.187 and of enthalpy is 0.931,
